Date,sentiment_mean,article_count
2021-10-17,1.0,3
2021-10-18,0.0,2
2021-10-19,1.0,1
2021-10-20,0.8333333333333334,6
2021-10-21,1.0,3
2021-10-22,1.0,2
2021-10-24,1.0,2
2021-10-25,1.0,4
2021-10-26,0.375,8
2021-10-27,0.25,4
2021-10-28,0.3333333333333333,3
2021-10-29,1.0,1
2021-10-30,1.0,1
2021-11-01,1.0,3
2021-11-02,0.5714285714285714,7
2021-11-03,0.6,5
2021-11-04,0.5454545454545454,11
2021-11-05,1.0,4
2021-11-06,1.0,1
2021-11-07,0.75,4
2021-11-08,0.6923076923076923,26
2021-11-09,0.4,10
2021-11-10,0.7,10
2021-11-11,-0.45454545454545453,11
2021-11-12,0.0,1
2021-11-13,0.4,5
2021-11-14,0.5454545454545454,11
2021-11-15,-0.2222222222222222,18
2021-11-16,0.4,10
2021-11-17,0.6666666666666666,42
2021-11-18,0.6363636363636364,11
2021-11-19,1.0,3
2021-11-20,1.0,2
2021-11-21,1.0,6
2021-11-22,0.5,6
2021-11-23,0.8333333333333334,6
2021-11-25,1.0,1
2021-11-26,0.6666666666666666,3
2021-11-27,0.0,1
2021-11-28,0.5,2
2021-11-29,0.5,4
2021-11-30,0.75,4
2021-12-01,-0.16666666666666666,12
2021-12-02,-0.3448275862068966,29
2021-12-03,-0.3333333333333333,3
2021-12-04,1.0,1
2021-12-05,-0.125,8
2021-12-06,0.2857142857142857,7
2021-12-07,0.25,4
2021-12-08,0.8,10
2021-12-09,0.45454545454545453,11
2021-12-10,1.0,1
2021-12-11,0.0,1
2021-12-12,1.0,2
2021-12-13,0.5,6
2021-12-14,0.8,5
2021-12-15,0.42857142857142855,7
2021-12-16,0.4,5
2021-12-17,1.0,2
2021-12-18,1.0,1
2021-12-19,1.0,5
2021-12-20,0.9,10
2021-12-21,1.0,8
2021-12-22,0.6,5
2021-12-23,1.0,5
2021-12-27,0.5555555555555556,9
2021-12-28,0.625,8
2021-12-29,1.0,2
2021-12-30,0.875,8
2022-01-01,1.0,1
2022-01-02,1.0,5
2022-01-03,0.7727272727272727,22
2022-01-04,0.75,8
2022-01-05,0.375,8
2022-01-06,0.6,5
2022-01-07,0.5,2
2022-01-08,1.0,1
2022-01-09,0.2,5
2022-01-10,0.45454545454545453,11
2022-01-11,0.8333333333333334,6
2022-01-12,1.0,10
2022-01-13,1.0,4
2022-01-14,1.0,2
2022-01-15,1.0,1
2022-01-16,1.0,2
2022-01-17,0.6666666666666666,6
2022-01-18,0.6,5
2022-01-19,1.0,3
2022-01-20,0.0,6
2022-01-21,0.5,2
2022-01-22,1.0,1
2022-01-23,0.3333333333333333,6
2022-01-24,-0.38095238095238093,21
2022-01-25,0.35294117647058826,17
2022-01-26,0.5714285714285714,7
2022-01-27,-0.5,6
2022-01-28,1.0,4
2022-01-29,0.5,2
2022-01-30,1.0,5
2022-01-31,0.6,5
2022-02-01,0.7692307692307693,13
2022-02-02,0.375,8
2022-02-03,0.4,5
2022-02-04,1.0,1
2022-02-05,0.0,2
2022-02-06,0.6666666666666666,3
2022-02-07,-0.3953488372093023,43
2022-02-08,0.5,8
2022-02-09,0.5714285714285714,7
2022-02-10,0.1,10
2022-02-11,0.0,4
2022-02-12,1.0,1
2022-02-13,0.6,10
2022-02-14,0.4444444444444444,9
2022-02-15,0.375,16
2022-02-16,0.13953488372093023,43
2022-02-17,0.3333333333333333,6
2022-02-18,1.0,2
2022-02-19,1.0,1
2022-02-20,1.0,3
2022-02-21,0.6666666666666666,3
2022-02-22,0.5,8
2022-02-23,0.25,8
2022-02-24,-0.5,4
2022-02-25,-0.125,8
2022-02-26,1.0,1
2022-02-27,0.5,4
2022-02-28,-1.0,5
2022-03-01,0.42857142857142855,7
2022-03-02,0.6666666666666666,6
2022-03-03,-0.16666666666666666,6
2022-03-04,0.0,2
2022-03-05,0.5,4
2022-03-06,-0.25,4
2022-03-07,0.625,8
2022-03-08,0.8333333333333334,6
2022-03-09,0.0,5
2022-03-10,1.0,2
2022-03-11,1.0,1
2022-03-13,-0.2,5
2022-03-14,0.3333333333333333,6
2022-03-15,0.8333333333333334,6
2022-03-16,0.75,4
2022-03-17,0.9,10
2022-03-18,0.6,5
2022-03-20,0.5,4
2022-03-21,0.4838709677419355,31
2022-03-22,0.5,14
2022-03-23,0.8571428571428571,14
2022-03-24,0.7692307692307693,13
2022-03-25,0.4,5
2022-03-26,1.0,2
2022-03-27,0.3333333333333333,3
2022-03-28,0.6666666666666666,6
2022-03-29,0.16666666666666666,6
2022-03-30,1.0,4
2022-04-01,0.5,2
2022-04-02,0.6666666666666666,3
2022-04-03,1.0,8
2022-04-04,0.3333333333333333,3
2022-04-05,0.14285714285714285,7
2022-04-06,0.5714285714285714,7
2022-04-07,0.375,8
2022-04-08,1.0,6
2022-04-09,1.0,2
2022-04-10,-0.4166666666666667,12
2022-04-11,0.4444444444444444,9
2022-04-12,0.375,8
2022-04-13,0.42857142857142855,7
2022-04-14,0.3333333333333333,3
2022-04-17,0.5,4
2022-04-18,0.6,5
2022-04-19,-0.6666666666666666,6
2022-04-20,0.75,8
2022-04-21,0.1111111111111111,9
2022-04-22,0.5,2
2022-04-23,0.5,2
2022-04-24,0.2,5
2022-04-25,0.0,9
2022-04-26,0.0,6
2022-04-27,0.5,4
2022-04-28,0.16666666666666666,6
